FECHA_OPERACION,VENTA,VENTA_FORE,FORE_LOWER,FORE_UPPER
2023-01-01,305661.8,305661.8125,305661.8125,305661.8125
2023-01-02,355525.2,355525.1875,355525.1875,355525.1875
2023-01-03,402932.03,402932.03125,402932.03125,402932.03125
2023-01-04,319218.8,319218.8125,319218.8125,319218.8125
2023-01-05,269913.34,269913.34375,269913.34375,269913.34375
2023-01-06,255089.86,255089.859375,255089.859375,255089.859375
2023-01-07,323670.9,323670.90625,323670.90625,323670.90625
2023-01-08,281108.47,281108.46875,281108.46875,281108.46875
2023-01-09,303084.03,303084.03125,303084.03125,303084.03125
2023-01-10,231070.48,231070.484375,231070.484375,231070.484375
2023-01-11,203028.02,203028.015625,203028.015625,203028.015625
2023-01-12,209192.31,209192.3125,209192.3125,209192.3125
2023-01-13,237421.03,237421.03125,237421.03125,237421.03125
2023-01-14,219416.66,219416.65625,219416.65625,219416.65625
2023-01-15,223966.78,223966.78125,223966.78125,223966.78125
2023-01-16,270557.7,270557.6875,270557.6875,270557.6875
2023-01-17,187501.2,187501.203125,187501.203125,187501.203125
2023-01-18,225645.73,225645.734375,225645.734375,225645.734375
2023-01-19,173552.27,173552.265625,173552.265625,173552.265625
2023-01-20,238022.2,238022.203125,238022.203125,238022.203125
2023-01-21,179212.86,179212.859375,179212.859375,179212.859375
2023-01-22,212141.6,212141.59375,212141.59375,212141.59375
2023-01-23,233262.45,233262.453125,233262.453125,233262.453125
2023-01-24,170103.14,170103.140625,170103.140625,170103.140625
2023-01-25,190191.3,190191.296875,190191.296875,190191.296875
2023-01-26,287139.78,287139.78125,287139.78125,287139.78125
2023-01-27,194852.88,194852.875,194852.875,194852.875
2023-01-28,146004.56,146004.5625,146004.5625,146004.5625
2023-01-29,260065.89,260065.890625,260065.890625,260065.890625
2023-01-30,219710.55,219710.546875,219710.546875,219710.546875
2023-01-31,172256.06,172256.0625,172256.0625,172256.0625
2023-02-01,204294.36,204294.359375,204294.359375,204294.359375
2023-02-02,254629.75,254629.75,254629.75,254629.75
2023-02-03,245396.98,245396.984375,245396.984375,245396.984375
2023-02-04,165961.02,165961.015625,165961.015625,165961.015625
2023-02-05,168068.52,168068.515625,168068.515625,168068.515625
2023-02-06,264162.38,264162.375,264162.375,264162.375
2023-02-07,240991.66,240991.65625,240991.65625,240991.65625
2023-02-08,210745.86,210745.859375,210745.859375,210745.859375
2023-02-09,292604.44,292604.4375,292604.4375,292604.4375
2023-02-10,185342.47,185342.46875,185342.46875,185342.46875
2023-02-11,158655.2,158655.203125,158655.203125,158655.203125
2023-02-12,196991.16,196991.15625,196991.15625,196991.15625
2023-02-13,223934.36,223934.359375,223934.359375,223934.359375
2023-02-14,178084.02,178084.015625,178084.015625,178084.015625
2023-02-15,276998.78,276998.78125,276998.78125,276998.78125
2023-02-16,248531.83,248531.828125,248531.828125,248531.828125
2023-02-17,268233.9,268233.90625,268233.90625,268233.90625
2023-02-18,166434.08,166434.078125,166434.078125,166434.078125
2023-02-19,212376.22,212376.21875,212376.21875,212376.21875
2023-02-20,206802.5,206802.5,206802.5,206802.5
2023-02-21,170445.64,170445.640625,170445.640625,170445.640625
2023-02-22,184241.53,184241.53125,184241.53125,184241.53125
2023-02-23,249602.64,249602.640625,249602.640625,249602.640625
2023-02-24,319199.44,319199.4375,319199.4375,319199.4375
2023-02-25,170278.06,170278.0625,170278.0625,170278.0625
2023-02-26,227210.8,227210.796875,227210.796875,227210.796875
2023-02-27,361905.25,361905.25,361905.25,361905.25
2023-02-28,214035.16,214035.15625,214035.15625,214035.15625
2023-03-01,317946.53,317946.53125,317946.53125,317946.53125
2023-03-02,328172.9,328172.90625,328172.90625,328172.90625
2023-03-03,306457.56,306457.5625,306457.5625,306457.5625
2023-03-04,197107.98,197107.984375,197107.984375,197107.984375
2023-03-05,256234.78,256234.78125,256234.78125,256234.78125
2023-03-06,250335.4,250335.40625,250335.40625,250335.40625
2023-03-07,209534.48,209534.484375,209534.484375,209534.484375
2023-03-08,198277.56,198277.5625,198277.5625,198277.5625
2023-03-09,256220.92,256220.921875,256220.921875,256220.921875
2023-03-10,235240.28,235240.28125,235240.28125,235240.28125
2023-03-11,205763.88,205763.875,205763.875,205763.875
2023-03-12,200727.34,200727.34375,200727.34375,200727.34375
2023-03-13,286995.34,286995.34375,286995.34375,286995.34375
2023-03-14,245046.78,245046.78125,245046.78125,245046.78125
2023-03-15,295154.66,295154.65625,295154.65625,295154.65625
2023-03-16,385540.2,385540.1875,385540.1875,385540.1875
2023-03-17,279921.0,279921.0,279921.0,279921.0
2023-03-18,282760.1,282760.09375,282760.09375,282760.09375
2023-03-19,323320.5,323320.5,323320.5,323320.5
2023-03-20,341214.2,341214.1875,341214.1875,341214.1875
2023-03-21,254759.83,254759.828125,254759.828125,254759.828125
2023-03-22,254466.34,254466.34375,254466.34375,254466.34375
2023-03-23,302186.78,302186.78125,302186.78125,302186.78125
2023-03-24,319618.8,319618.8125,319618.8125,319618.8125
2023-03-25,360043.88,360043.875,360043.875,360043.875
2023-03-26,284679.94,284679.9375,284679.9375,284679.9375
2023-03-27,327798.47,327798.46875,327798.46875,327798.46875
2023-03-28,311290.34,311290.34375,311290.34375,311290.34375
2023-03-29,378400.56,378400.5625,378400.5625,378400.5625
2023-03-30,414471.34,414471.34375,414471.34375,414471.34375
2023-03-31,415065.53,415065.53125,415065.53125,415065.53125
2023-04-01,370448.44,370448.4375,370448.4375,370448.4375
2023-04-02,408972.78,408972.78125,408972.78125,408972.78125
2023-04-03,373597.47,373597.46875,373597.46875,373597.46875
2023-04-04,347659.6,347659.59375,347659.59375,347659.59375
2023-04-05,392920.22,392920.21875,392920.21875,392920.21875
2023-04-06,382722.3,382722.3125,382722.3125,382722.3125
2023-04-07,219285.3,219285.296875,219285.296875,219285.296875
2023-04-08,337254.62,337254.625,337254.625,337254.625
2023-04-09,290151.5,290151.5,290151.5,290151.5
2023-04-10,372554.6,372554.59375,372554.59375,372554.59375
2023-04-11,318508.56,318508.5625,318508.5625,318508.5625
2023-04-12,283710.03,283710.03125,283710.03125,283710.03125
2023-04-13,256721.31,256721.3125,256721.3125,256721.3125
2023-04-14,290370.34,290370.34375,290370.34375,290370.34375
2023-04-15,246316.39,246316.390625,246316.390625,246316.390625
2023-04-16,256065.69,256065.6875,256065.6875,256065.6875
2023-04-17,239935.94,239935.9375,239935.9375,239935.9375
2023-04-18,266790.25,266790.25,266790.25,266790.25
2023-04-19,254797.16,254797.15625,254797.15625,254797.15625
2023-04-20,325881.53,325881.53125,325881.53125,325881.53125
2023-04-21,314659.75,314659.75,314659.75,314659.75
2023-04-22,226505.34,226505.34375,226505.34375,226505.34375
2023-04-23,284065.5,284065.5,284065.5,284065.5
2023-04-24,253065.67,253065.671875,253065.671875,253065.671875
2023-04-25,288671.9,288671.90625,288671.90625,288671.90625
2023-04-26,329153.53,329153.53125,329153.53125,329153.53125
2023-04-27,311394.5,311394.5,311394.5,311394.5
2023-04-28,438299.56,438299.5625,438299.5625,438299.5625
2023-04-29,258908.88,258908.875,258908.875,258908.875
2023-04-30,277944.8,277944.8125,277944.8125,277944.8125
2023-05-01,351508.62,351508.625,351508.625,351508.625
2023-05-02,289083.8,289083.8125,289083.8125,289083.8125
2023-05-03,267050.84,267050.84375,267050.84375,267050.84375
2023-05-04,296881.22,296881.21875,296881.21875,296881.21875
2023-05-05,271479.25,271479.25,271479.25,271479.25
2023-05-06,298209.38,298209.375,298209.375,298209.375
2023-05-07,283850.56,283850.5625,283850.5625,283850.5625
2023-05-08,258197.17,258197.171875,258197.171875,258197.171875
2023-05-09,268770.4,268770.40625,268770.40625,268770.40625
2023-05-10,261016.62,261016.625,261016.625,261016.625
2023-05-11,283686.7,283686.6875,283686.6875,283686.6875
2023-05-12,315935.56,315935.5625,315935.5625,315935.5625
2023-05-13,236817.73,236817.734375,236817.734375,236817.734375
2023-05-14,270983.38,270983.375,270983.375,270983.375
2023-05-15,393933.97,393933.96875,393933.96875,393933.96875
2023-05-16,323418.66,323418.65625,323418.65625,323418.65625
2023-05-17,344609.75,344609.75,344609.75,344609.75
2023-05-18,364051.84,364051.84375,364051.84375,364051.84375
2023-05-19,347991.62,347991.625,347991.625,347991.625
2023-05-20,397899.25,397899.25,397899.25,397899.25
2023-05-21,327054.2,327054.1875,327054.1875,327054.1875
2023-05-22,484850.5,484850.5,484850.5,484850.5
2023-05-23,356933.38,356933.375,356933.375,356933.375
2023-05-24,282419.16,282419.15625,282419.15625,282419.15625
2023-05-25,290490.94,290490.9375,290490.9375,290490.9375
2023-05-26,363597.2,363597.1875,363597.1875,363597.1875
2023-05-27,252367.14,252367.140625,252367.140625,252367.140625
2023-05-28,247959.2,247959.203125,247959.203125,247959.203125
2023-05-29,267161.34,267161.34375,267161.34375,267161.34375
2023-05-30,249198.06,249198.0625,249198.0625,249198.0625
2023-05-31,291235.8,291235.8125,291235.8125,291235.8125
2023-06-01,263057.34,263057.34375,263057.34375,263057.34375
2023-06-02,280807.7,280807.6875,280807.6875,280807.6875
2023-06-03,201110.06,201110.0625,201110.0625,201110.0625
2023-06-04,218128.81,218128.8125,218128.8125,218128.8125
2023-06-05,246468.72,246468.71875,246468.71875,246468.71875
2023-06-06,197318.89,197318.890625,197318.890625,197318.890625
2023-06-07,287743.72,287743.71875,287743.71875,287743.71875
2023-06-08,246620.9,246620.90625,246620.90625,246620.90625
2023-06-09,363373.9,363373.90625,363373.90625,363373.90625
2023-06-10,188763.19,188763.1875,188763.1875,188763.1875
2023-06-11,303440.56,303440.5625,303440.5625,303440.5625
2023-06-12,349055.5,349055.5,349055.5,349055.5
2023-06-13,271137.7,271137.6875,271137.6875,271137.6875
2023-06-14,298393.72,298393.71875,298393.71875,298393.71875
2023-06-15,308044.75,308044.75,308044.75,308044.75
2023-06-16,363810.16,363810.15625,363810.15625,363810.15625
2023-06-17,246101.22,246101.21875,246101.21875,246101.21875
2023-06-18,235770.94,235770.9375,235770.9375,235770.9375
2023-06-19,313609.72,313609.71875,313609.71875,313609.71875
2023-06-20,245923.81,245923.8125,245923.8125,245923.8125
2023-06-21,254237.62,254237.625,254237.625,254237.625
2023-06-22,278317.06,278317.0625,278317.0625,278317.0625
2023-06-23,342397.62,342397.625,342397.625,342397.625
2023-06-24,209376.98,209376.984375,209376.984375,209376.984375
2023-06-25,296957.34,296957.34375,296957.34375,296957.34375
2023-06-26,303203.38,303203.375,303203.375,303203.375
2023-06-27,279803.03,279803.03125,279803.03125,279803.03125
2023-06-28,291233.4,291233.40625,291233.40625,291233.40625
2023-06-29,277515.72,277515.71875,277515.71875,277515.71875
2023-06-30,384811.62,384811.625,384811.625,384811.625
2023-07-01,259197.75,259197.75,259197.75,259197.75
2023-07-02,271332.2,271332.1875,271332.1875,271332.1875
2023-07-03,331038.78,331038.78125,331038.78125,331038.78125
2023-07-04,342272.66,342272.65625,342272.65625,342272.65625
2023-07-05,289449.16,289449.15625,289449.15625,289449.15625
2023-07-06,353063.56,353063.5625,353063.5625,353063.5625
2023-07-07,252757.42,252757.421875,252757.421875,252757.421875
2023-07-08,205773.89,205773.890625,205773.890625,205773.890625
2023-07-09,294810.7,294810.6875,294810.6875,294810.6875
2023-07-10,299804.16,299804.15625,299804.15625,299804.15625
2023-07-11,303186.88,303186.875,303186.875,303186.875
2023-07-12,431702.9,431702.90625,431702.90625,431702.90625
2023-07-13,411130.03,411130.03125,411130.03125,411130.03125
2023-07-14,314842.88,314842.875,314842.875,314842.875
2023-07-15,268974.6,268974.59375,268974.59375,268974.59375
2023-07-16,314194.8,314194.8125,314194.8125,314194.8125
2023-07-17,453070.84,453070.84375,453070.84375,453070.84375
2023-07-18,311681.88,311681.875,311681.875,311681.875
2023-07-19,335690.84,335690.84375,335690.84375,335690.84375
2023-07-20,398706.97,398706.96875,398706.96875,398706.96875
2023-07-21,319263.75,319263.75,319263.75,319263.75
2023-07-22,273668.1,273668.09375,273668.09375,273668.09375
2023-07-23,287951.47,287951.46875,287951.46875,287951.46875
2023-07-24,412496.9,412496.90625,412496.90625,412496.90625
2023-07-25,363197.06,363197.0625,363197.0625,363197.0625
2023-07-26,318787.9,318787.90625,318787.90625,318787.90625
2023-07-27,317668.6,317668.59375,317668.59375,317668.59375
2023-07-28,407574.25,407574.25,407574.25,407574.25
2023-07-29,291416.06,291416.0625,291416.0625,291416.0625
2023-07-30,307192.62,307192.625,307192.625,307192.625
2023-07-31,375898.22,375898.21875,375898.21875,375898.21875
2023-08-01,367733.28,367733.28125,367733.28125,367733.28125
2023-08-02,387203.4,387203.40625,387203.40625,387203.40625
2023-08-03,390407.2,390407.1875,390407.1875,390407.1875
2023-08-04,322268.88,322268.875,322268.875,322268.875
2023-08-05,263614.8,263614.8125,263614.8125,263614.8125
2023-08-06,303768.34,303768.34375,303768.34375,303768.34375
2023-08-07,337563.34,337563.34375,337563.34375,337563.34375
2023-08-08,447471.22,447471.21875,447471.21875,447471.21875
2023-08-09,365901.34,365901.34375,365901.34375,365901.34375
2023-08-10,388275.4,388275.40625,388275.40625,388275.40625
2023-08-11,316422.56,316422.5625,316422.5625,316422.5625
2023-08-12,276166.0,276166.0,276166.0,276166.0
2023-08-13,271364.84,271364.84375,271364.84375,271364.84375
2023-08-14,442964.16,442964.15625,442964.15625,442964.15625
2023-08-15,415998.72,415998.71875,415998.71875,415998.71875
2023-08-16,396778.3,396778.3125,396778.3125,396778.3125
2023-08-17,301100.6,301100.59375,301100.59375,301100.59375
2023-08-18,365327.44,365327.4375,365327.4375,365327.4375
