FECHA_OPERACION_x,TARIFA DINAMICA,Precio final con IVA,Precio final sin IVA
2025-10-22,338301.66,384868.0,330826.0
2025-10-23,212087.67,239262.0,205299.0
2025-10-24,385670.72,442508.0,380810.0
2025-10-25,125272.72,145587.0,125558.0
2025-10-26,80884.31,94109.0,81157.0
2025-10-27,590821.4,671929.0,577503.0
2025-10-28,72983.51,83852.0,72173.0
2025-10-29,143016.17,163918.0,141023.0
2025-10-30,115400.96,135704.0,117220.0
2025-10-31,111465.54,129201.0,111370.0
2025-11-01,129212.875,156688.0,135997.0
2025-11-02,188390.38,213155.0,183013.0
2025-11-03,184438.28,212141.0,182619.0
2025-11-04,214031.27,246438.0,212165.0
2025-11-05,201219.45,230236.0,198027.0
2025-11-06,230825.8,265443.0,228489.0
2025-11-07,218973.27,258694.0,223650.0
2025-11-08,112459.75,130993.0,112988.0
2025-11-09,174590.28,199766.0,171802.0
2025-11-10,12822.679,15098.0,13044.0
