Etiquetas de fila,# Boletos,$ Venta real,$ Venta dinamica,$ PrecioVenta a consumidor,Diff_P_Dinero,%dP,%dQ,Q_Dinamica,Precio_Prom,Precio_Prom_Dinamico,Ing_Dinamico_Total,Diff_Venta_IngDin,dP_Dinamico
24/10/2025,177," $197,860.74 "," $198,587.00 "," $191,642.00 ","-$6,218.74 ",-3%,4%,185,1117.857288," $1,082.72 "," $199,773.44 "," $1,912.70 ",1%
25/10/2025,103," $109,268.31 "," $116,576.00 "," $106,190.50 ","-$3,077.81 ",-3%,4%,107,1060.857379," $1,030.98 "," $110,228.51 ", $960.20 ,1%
26/10/2025,60," $63,304.55 "," $67,488.00 "," $61,243.00 ","-$2,061.55 ",-3%,4%,63,1055.075833," $1,020.72 "," $63,935.46 ", $630.91 ,1%
27/10/2025,174," $180,020.51 "," $195,038.00 "," $174,161.00 ","-$5,859.51 ",-3%,4%,182,1034.600632," $1,000.93 "," $181,813.86 "," $1,793.35 ",1%
28/10/2025,50," $53,042.85 "," $56,516.00 "," $51,421.50 ","-$1,621.35 ",-3%,4%,52,1060.857," $1,028.43 "," $53,543.42 ", $500.57 ,1%
29/10/2025,99," $102,194.15 "," $111,004.00 "," $98,438.00 ","-$3,756.15 ",-4%,5%,104,1032.264141, $994.32 ," $103,322.42 "," $1,128.27 ",1%
30/10/2025,91," $98,161.90 "," $103,155.00 "," $94,469.50 ","-$3,692.40 ",-4%,5%,96,1078.702198," $1,038.13 "," $99,266.74 "," $1,104.84 ",1%
31/10/2025,91," $97,565.38 "," $102,987.00 "," $92,617.00 ","-$4,948.38 ",-5%,7%,97,1072.147033," $1,017.77 "," $98,958.50 "," $1,393.12 ",1%
01/11/2025,74," $78,948.27 "," $84,001.00 "," $74,690.50 ","-$4,257.77 ",-5%,7%,79,1066.868514," $1,009.33 "," $80,128.49 "," $1,180.22 ",1%
02/11/2025,114," $119,389.34 "," $127,703.00 "," $112,458.50 ","-$6,930.84 ",-6%,8%,123,1047.274912, $986.48 ," $121,271.96 "," $1,882.62 ",2%
03/11/2025,142," $152,819.68 "," $159,741.00 "," $145,851.00 ","-$6,968.68 ",-5%,6%,151,1076.19493," $1,027.12 "," $154,829.72 "," $2,010.04 ",1%
04/11/2025,163," $178,490.76 "," $184,566.00 "," $171,854.00 ","-$6,636.76 ",-4%,5%,171,1095.035337," $1,054.32 "," $180,480.48 "," $1,989.72 ",1%
05/11/2025,153," $158,863.05 "," $172,533.00 "," $152,367.00 ","-$6,496.05 ",-4%,6%,161,1038.320588, $995.86 ," $160,778.07 "," $1,915.02 ",1%
06/11/2025,176," $188,025.32 "," $197,776.00 "," $180,517.00 ","-$7,508.32 ",-4%,5%,185,1068.325682," $1,025.66 "," $190,248.47 "," $2,223.15 ",1%
07/11/2025,147," $163,659.86 "," $166,290.00 "," $157,562.50 ","-$6,097.36 ",-4%,5%,154,1113.332381," $1,071.85 "," $165,487.26 "," $1,827.40 ",1%
08/11/2025,108," $115,400.53 "," $122,455.00 "," $110,744.50 ","-$4,656.03 ",-4%,5%,114,1068.523426," $1,025.41 "," $116,776.54 "," $1,376.01 ",1%
09/11/2025,105," $116,862.46 "," $116,960.00 "," $110,753.50 ","-$6,108.96 ",-5%,7%,112,1112.97581," $1,054.80 "," $118,569.48 "," $1,707.02 ",1%
10/11/2025,133," $148,456.44 "," $148,577.00 "," $141,226.50 ","-$7,229.94 ",-5%,7%,142,1116.213835," $1,061.85 "," $150,511.58 "," $2,055.14 ",1%
11/11/2025,132," $145,712.21 "," $149,249.00 "," $140,130.00 ","-$5,582.21 ",-4%,5%,139,1103.880379," $1,061.59 "," $147,377.28 "," $1,665.07 ",1%
Total general,2292," $2,468,046.31 "," $2,581,202.00 "," $2,368,337.50 ","-$99,708.81 ",-4.04%,0.05454,2417,"$1,076.81","$1,033.31","$2,497,506.29","$29,459.98",1.19%
,,,,,,,,,,,,,
FECHA,$ Venta real,$ PrecioVenta a consumidor,# Boletos,Q_Dinamica,,,,,,,,,
24/10/2025," $197,860.74 "," $191,642.00 ",177,185,,,,,,,,,
25/10/2025," $109,268.31 "," $106,190.50 ",103,107,,,,,,,,,
26/10/2025," $63,304.55 "," $61,243.00 ",60,63,,,,,,,,,
27/10/2025," $180,020.51 "," $174,161.00 ",174,182,,,,,,,,,
28/10/2025," $53,042.85 "," $51,421.50 ",50,52,,,,,,,,,
29/10/2025," $102,194.15 "," $98,438.00 ",99,104,,,,,,,,,
30/10/2025," $98,161.90 "," $94,469.50 ",91,96,,,,,,,,,
31/10/2025," $97,565.38 "," $92,617.00 ",91,97,,,,,,,,,
01/11/2025," $78,948.27 "," $74,690.50 ",74,79,,,,,,,,,
02/11/2025," $119,389.34 "," $112,458.50 ",114,123,,,,,,,,,
03/11/2025," $152,819.68 "," $145,851.00 ",142,151,,,,,,,,,
04/11/2025," $178,490.76 "," $171,854.00 ",163,171,,,,,,,,,
05/11/2025," $158,863.05 "," $152,367.00 ",153,161,,,,,,,,,
06/11/2025," $188,025.32 "," $180,517.00 ",176,185,,,,,,,,,
07/11/2025," $163,659.86 "," $157,562.50 ",147,154,,,,,,,,,
08/11/2025," $115,400.53 "," $110,744.50 ",108,114,,,,,,,,,
09/11/2025," $116,862.46 "," $110,753.50 ",105,112,,,,,,,,,
10/11/2025," $148,456.44 "," $141,226.50 ",133,142,,,,,,,,,
11/11/2025," $145,712.21 "," $140,130.00 ",132,139,,,,,,,,,
,,,,,,,,,,,,,
