FECHA_CORRIDA,BOLETOS_VEND,BOLETOS_VEND_FORE,FORE_LOWER,FORE_UPPER
2023-01-01,167.0,167.0,167.0,167.0
2023-01-02,233.0,233.0,233.0,233.0
2023-01-03,486.0,486.0,486.0,486.0
2023-01-04,470.0,470.0,470.0,470.0
2023-01-05,282.0,282.0,282.0,282.0
2023-01-06,255.0,255.0,255.0,255.0
2023-01-07,446.0,446.0,446.0,446.0
2023-01-08,465.0,465.0,465.0,465.0
2023-01-09,361.0,361.0,361.0,361.0
2023-01-10,308.0,308.0,308.0,308.0
2023-01-11,228.0,228.0,228.0,228.0
2023-01-12,223.0,223.0,223.0,223.0
2023-01-13,319.0,319.0,319.0,319.0
2023-01-14,269.0,269.0,269.0,269.0
2023-01-15,309.0,309.0,309.0,309.0
2023-01-16,325.0,325.0,325.0,325.0
2023-01-17,233.0,233.0,233.0,233.0
2023-01-18,215.0,215.0,215.0,215.0
2023-01-19,202.0,202.0,202.0,202.0
2023-01-20,317.0,317.0,317.0,317.0
2023-01-21,182.0,182.0,182.0,182.0
2023-01-22,286.0,286.0,286.0,286.0
2023-01-23,339.0,339.0,339.0,339.0
2023-01-24,196.0,196.0,196.0,196.0
2023-01-25,178.0,178.0,178.0,178.0
2023-01-26,309.0,309.0,309.0,309.0
2023-01-27,259.0,259.0,259.0,259.0
2023-01-28,192.0,192.0,192.0,192.0
2023-01-29,339.0,339.0,339.0,339.0
2023-01-30,260.0,260.0,260.0,260.0
2023-01-31,218.0,218.0,218.0,218.0
2023-02-01,191.0,191.0,191.0,191.0
2023-02-02,235.0,235.0,235.0,235.0
2023-02-03,321.0,321.0,321.0,321.0
2023-02-04,205.0,205.0,205.0,205.0
2023-02-05,233.0,233.0,233.0,233.0
2023-02-06,427.0,427.0,427.0,427.0
2023-02-07,278.0,278.0,278.0,278.0
2023-02-08,262.0,262.0,262.0,262.0
2023-02-09,244.0,244.0,244.0,244.0
2023-02-10,295.0,295.0,295.0,295.0
2023-02-11,140.0,140.0,140.0,140.0
2023-02-12,345.0,345.0,345.0,345.0
2023-02-13,261.0,261.0,261.0,261.0
2023-02-14,182.0,182.0,182.0,182.0
2023-02-15,312.0,312.0,312.0,312.0
2023-02-16,258.0,258.0,258.0,258.0
2023-02-17,332.0,332.0,332.0,332.0
2023-02-18,178.0,178.0,178.0,178.0
2023-02-19,338.0,338.0,338.0,338.0
2023-02-20,276.0,276.0,276.0,276.0
2023-02-21,187.0,187.0,187.0,187.0
2023-02-22,188.0,188.0,188.0,188.0
2023-02-23,275.0,275.0,275.0,275.0
2023-02-24,361.0,361.0,361.0,361.0
2023-02-25,190.0,190.0,190.0,190.0
2023-02-26,345.0,345.0,345.0,345.0
2023-02-27,421.0,421.0,421.0,421.0
2023-02-28,227.0,227.0,227.0,227.0
2023-03-01,223.0,223.0,223.0,223.0
2023-03-02,400.0,400.0,400.0,400.0
2023-03-03,426.0,426.0,426.0,426.0
2023-03-04,213.0,213.0,213.0,213.0
2023-03-05,322.0,322.0,322.0,322.0
2023-03-06,377.0,377.0,377.0,377.0
2023-03-07,269.0,269.0,269.0,269.0
2023-03-08,231.0,231.0,231.0,231.0
2023-03-09,235.0,235.0,235.0,235.0
2023-03-10,252.0,252.0,252.0,252.0
2023-03-11,175.0,175.0,175.0,175.0
2023-03-12,315.0,315.0,315.0,315.0
2023-03-13,295.0,295.0,295.0,295.0
2023-03-14,225.0,225.0,225.0,225.0
2023-03-15,229.0,229.0,229.0,229.0
2023-03-16,329.0,329.0,329.0,329.0
2023-03-17,505.0,505.0,505.0,505.0
2023-03-18,359.0,359.0,359.0,359.0
2023-03-19,297.0,297.0,297.0,297.0
2023-03-20,608.0,608.0,608.0,608.0
2023-03-21,372.0,372.0,372.0,372.0
2023-03-22,288.0,288.0,288.0,288.0
2023-03-23,262.0,262.0,262.0,262.0
2023-03-24,310.0,310.0,310.0,310.0
2023-03-25,330.0,330.0,330.0,330.0
2023-03-26,402.0,402.0,402.0,402.0
2023-03-27,326.0,326.0,326.0,326.0
2023-03-28,227.0,227.0,227.0,227.0
2023-03-29,255.0,255.0,255.0,255.0
2023-03-30,417.0,417.0,417.0,417.0
2023-03-31,424.0,424.0,424.0,424.0
2023-04-01,391.0,391.0,391.0,391.0
2023-04-02,467.0,467.0,467.0,467.0
2023-04-03,406.0,406.0,406.0,406.0
2023-04-04,356.0,356.0,356.0,356.0
2023-04-05,525.0,525.0,525.0,525.0
2023-04-06,490.0,490.0,490.0,490.0
2023-04-07,246.0,246.0,246.0,246.0
2023-04-08,444.0,444.0,444.0,444.0
2023-04-09,908.0,908.0,908.0,908.0
2023-04-10,641.0,641.0,641.0,641.0
2023-04-11,387.0,387.0,387.0,387.0
2023-04-12,312.0,312.0,312.0,312.0
2023-04-13,392.0,392.0,392.0,392.0
2023-04-14,473.0,473.0,473.0,473.0
2023-04-15,306.0,306.0,306.0,306.0
2023-04-16,434.0,434.0,434.0,434.0
2023-04-17,316.0,316.0,316.0,316.0
2023-04-18,315.0,315.0,315.0,315.0
2023-04-19,223.0,223.0,223.0,223.0
2023-04-20,246.0,246.0,246.0,246.0
2023-04-21,315.0,315.0,315.0,315.0
2023-04-22,236.0,236.0,236.0,236.0
2023-04-23,381.0,381.0,381.0,381.0
2023-04-24,278.0,278.0,278.0,278.0
2023-04-25,228.0,228.0,228.0,228.0
2023-04-26,309.0,309.0,309.0,309.0
2023-04-27,356.0,356.0,356.0,356.0
2023-04-28,610.0,610.0,610.0,610.0
2023-04-29,396.0,396.0,396.0,396.0
2023-04-30,380.0,380.0,380.0,380.0
2023-05-01,541.0,541.0,541.0,541.0
2023-05-02,369.0,369.0,369.0,369.0
2023-05-03,259.0,259.0,259.0,259.0
2023-05-04,284.0,284.0,284.0,284.0
2023-05-05,379.0,379.0,379.0,379.0
2023-05-06,350.0,350.0,350.0,350.0
2023-05-07,423.0,423.0,423.0,423.0
2023-05-08,342.0,342.0,342.0,342.0
2023-05-09,268.0,268.0,268.0,268.0
2023-05-10,147.0,147.0,147.0,147.0
2023-05-11,228.0,228.0,228.0,228.0
2023-05-12,388.0,388.0,388.0,388.0
2023-05-13,213.0,213.0,213.0,213.0
2023-05-14,373.0,373.0,373.0,373.0
2023-05-15,411.0,411.0,411.0,411.0
2023-05-16,363.0,363.0,363.0,363.0
2023-05-17,268.0,268.0,268.0,268.0
2023-05-18,437.0,437.0,437.0,437.0
2023-05-19,607.0,607.0,607.0,607.0
2023-05-20,432.0,432.0,432.0,432.0
2023-05-21,485.0,485.0,485.0,485.0
2023-05-22,592.0,592.0,592.0,592.0
2023-05-23,344.0,344.0,344.0,344.0
2023-05-24,247.0,247.0,247.0,247.0
2023-05-25,333.0,333.0,333.0,333.0
2023-05-26,462.0,462.0,462.0,462.0
2023-05-27,395.0,395.0,395.0,395.0
2023-05-28,428.0,428.0,428.0,428.0
2023-05-29,318.0,318.0,318.0,318.0
2023-05-30,267.0,267.0,267.0,267.0
2023-05-31,254.0,254.0,254.0,254.0
2023-06-01,304.0,304.0,304.0,304.0
2023-06-02,321.0,321.0,321.0,321.0
2023-06-03,275.0,275.0,275.0,275.0
2023-06-04,369.0,369.0,369.0,369.0
2023-06-05,326.0,326.0,326.0,326.0
2023-06-06,235.0,235.0,235.0,235.0
2023-06-07,238.0,238.0,238.0,238.0
2023-06-08,303.0,303.0,303.0,303.0
2023-06-09,318.0,318.0,318.0,318.0
2023-06-10,264.0,264.0,264.0,264.0
2023-06-11,381.0,381.0,381.0,381.0
2023-06-12,375.0,375.0,375.0,375.0
2023-06-13,280.0,280.0,280.0,280.0
2023-06-14,256.0,256.0,256.0,256.0
2023-06-15,309.0,309.0,309.0,309.0
2023-06-16,454.0,454.0,454.0,454.0
2023-06-17,275.0,275.0,275.0,275.0
2023-06-18,439.0,439.0,439.0,439.0
2023-06-19,372.0,372.0,372.0,372.0
2023-06-20,309.0,309.0,309.0,309.0
2023-06-21,291.0,291.0,291.0,291.0
2023-06-22,277.0,277.0,277.0,277.0
2023-06-23,409.0,409.0,409.0,409.0
2023-06-24,246.0,246.0,246.0,246.0
2023-06-25,367.0,367.0,367.0,367.0
2023-06-26,387.0,387.0,387.0,387.0
2023-06-27,308.0,308.0,308.0,308.0
2023-06-28,262.0,262.0,262.0,262.0
2023-06-29,279.0,279.0,279.0,279.0
2023-06-30,450.0,450.0,450.0,450.0
2023-07-01,336.0,336.0,336.0,336.0
2023-07-02,438.0,438.0,438.0,438.0
2023-07-03,304.0,304.0,304.0,304.0
2023-07-04,319.0,319.0,319.0,319.0
2023-07-05,261.0,261.0,261.0,261.0
2023-07-06,312.0,312.0,312.0,312.0
2023-07-07,337.0,337.0,337.0,337.0
2023-07-08,243.0,243.0,243.0,243.0
2023-07-09,329.0,329.0,329.0,329.0
2023-07-10,310.0,310.0,310.0,310.0
2023-07-11,313.0,313.0,313.0,313.0
2023-07-12,304.0,304.0,304.0,304.0
2023-07-13,483.0,483.0,483.0,483.0
2023-07-14,415.0,415.0,415.0,415.0
2023-07-15,308.0,308.0,308.0,308.0
2023-07-16,465.0,465.0,465.0,465.0
2023-07-17,409.0,409.0,409.0,409.0
2023-07-18,362.0,362.0,362.0,362.0
2023-07-19,334.0,334.0,334.0,334.0
2023-07-20,359.0,359.0,359.0,359.0
2023-07-21,376.0,376.0,376.0,376.0
2023-07-22,328.0,328.0,328.0,328.0
2023-07-23,482.0,482.0,482.0,482.0
2023-07-24,431.0,431.0,431.0,431.0
2023-07-25,344.0,344.0,344.0,344.0
2023-07-26,356.0,356.0,356.0,356.0
2023-07-27,397.0,397.0,397.0,397.0
2023-07-28,433.0,433.0,433.0,433.0
2023-07-29,404.0,404.0,404.0,404.0
2023-07-30,424.0,424.0,424.0,424.0
2023-07-31,382.0,382.0,382.0,382.0
2023-08-01,405.0,405.0,405.0,405.0
2023-08-02,381.0,381.0,381.0,381.0
2023-08-03,443.0,443.0,443.0,443.0
2023-08-04,429.0,429.0,429.0,429.0
2023-08-05,467.0,467.0,467.0,467.0
2023-08-06,448.0,448.0,448.0,448.0
2023-08-07,425.0,425.0,425.0,425.0
2023-08-08,446.0,446.0,446.0,446.0
2023-08-09,366.0,366.0,366.0,366.0
2023-08-10,455.0,455.0,455.0,455.0
2023-08-11,473.0,473.0,473.0,473.0
2023-08-12,468.0,468.0,468.0,468.0
2023-08-13,459.0,459.0,459.0,459.0
2023-08-14,336.0,336.0,336.0,336.0
2023-08-15,424.0,424.0,424.0,424.0
2023-08-16,514.0,514.0,514.0,514.0
2023-08-17,373.0,373.0,373.0,373.0
2023-08-18,430.0,430.0,430.0,430.0
2023-08-19,296.0,296.0,296.0,296.0
2023-08-20,342.0,342.0,342.0,342.0
2023-08-21,294.0,294.0,294.0,294.0
2023-08-22,311.0,311.0,311.0,311.0
2023-08-23,326.0,326.0,326.0,326.0
2023-08-24,396.0,396.0,396.0,396.0
2023-08-25,503.0,503.0,503.0,503.0
2023-08-26,747.0,747.0,747.0,747.0
2023-08-27,1216.0,1216.0,1216.0,1216.0
2023-08-28,794.0,794.0,794.0,794.0
2023-08-29,351.0,351.0,351.0,351.0
2023-08-30,279.0,279.0,279.0,279.0
2023-08-31,343.0,343.0,343.0,343.0
2023-09-01,358.0,358.0,358.0,358.0
2023-09-02,291.0,291.0,291.0,291.0
2023-09-03,369.0,369.0,369.0,369.0
2023-09-04,496.0,496.0,496.0,496.0
2023-09-05,328.0,328.0,328.0,328.0
2023-09-06,429.0,429.0,429.0,429.0
2023-09-07,310.0,310.0,310.0,310.0
2023-09-08,305.0,305.0,305.0,305.0
2023-09-09,299.0,299.0,299.0,299.0
2023-09-10,384.0,384.0,384.0,384.0
2023-09-11,398.0,398.0,398.0,398.0
2023-09-12,230.0,230.0,230.0,230.0
2023-09-13,278.0,278.0,278.0,278.0
2023-09-14,378.0,378.0,378.0,378.0
2023-09-15,329.0,329.0,329.0,329.0
2023-09-16,305.0,305.0,305.0,305.0
2023-09-17,526.0,526.0,526.0,526.0
2023-09-18,399.0,399.0,399.0,399.0
2023-09-19,379.0,379.0,379.0,379.0
2023-09-20,247.0,247.0,247.0,247.0
2023-09-21,291.0,291.0,291.0,291.0
2023-09-22,388.0,388.0,388.0,388.0
2023-09-23,315.0,315.0,315.0,315.0
2023-09-24,690.0,690.0,690.0,690.0
2023-09-25,380.0,380.0,380.0,380.0
2023-09-26,409.0,409.0,409.0,409.0
2023-09-27,284.0,284.0,284.0,284.0
2023-09-28,343.0,343.0,343.0,343.0
2023-09-29,414.0,414.0,414.0,414.0
2023-09-30,331.0,331.0,331.0,331.0
2023-10-01,578.0,578.0,578.0,578.0
2023-10-02,362.0,362.0,362.0,362.0
2023-10-03,207.0,207.0,207.0,207.0
2023-10-04,266.0,266.0,266.0,266.0
2023-10-05,246.0,246.0,246.0,246.0
2023-10-06,386.0,386.0,386.0,386.0
2023-10-07,307.0,307.0,307.0,307.0
2023-10-08,548.0,548.0,548.0,548.0
2023-10-09,344.0,344.0,344.0,344.0
2023-10-10,326.0,326.0,326.0,326.0
2023-10-11,329.0,329.0,329.0,329.0
2023-10-12,341.0,341.0,341.0,341.0
2023-10-13,414.0,414.0,414.0,414.0
2023-10-14,271.0,271.0,271.0,271.0
2023-10-15,535.0,535.0,535.0,535.0
2023-10-16,447.0,447.0,447.0,447.0
2023-10-17,416.0,416.0,416.0,416.0
2023-10-18,383.0,383.0,383.0,383.0
2023-10-19,354.0,354.0,354.0,354.0
2023-10-20,442.0,442.0,442.0,442.0
2023-10-21,274.0,274.0,274.0,274.0
2023-10-22,448.0,448.0,448.0,448.0
2023-10-23,548.0,548.0,548.0,548.0
2023-10-24,315.0,315.0,315.0,315.0
2023-10-25,362.0,362.0,362.0,362.0
2023-10-26,401.0,401.0,401.0,401.0
2023-10-27,455.0,455.0,455.0,455.0
2023-10-28,307.0,307.0,307.0,307.0
2023-10-29,855.0,855.0,855.0,855.0
2023-10-30,568.0,568.0,568.0,568.0
2023-10-31,348.0,348.0,348.0,348.0
2023-11-01,252.0,252.0,252.0,252.0
2023-11-02,409.0,409.0,409.0,409.0
2023-11-03,374.0,374.0,374.0,374.0
2023-11-04,308.0,308.0,308.0,308.0
2023-11-05,492.0,492.0,492.0,492.0
2023-11-06,434.0,434.0,434.0,434.0
2023-11-07,346.0,346.0,346.0,346.0
2023-11-08,443.0,443.0,443.0,443.0
2023-11-09,279.0,279.0,279.0,279.0
2023-11-10,359.0,359.0,359.0,359.0
2023-11-11,363.0,363.0,363.0,363.0
2023-11-12,565.0,565.0,565.0,565.0
2023-11-13,350.0,350.0,350.0,350.0
2023-11-14,405.0,405.0,405.0,405.0
2023-11-15,450.0,450.0,450.0,450.0
2023-11-16,503.0,503.0,503.0,503.0
2023-11-17,727.0,727.0,727.0,727.0
2023-11-18,417.0,417.0,417.0,417.0
2023-11-19,387.0,387.0,387.0,387.0
2023-11-20,800.0,800.0,800.0,800.0
