FECHA	ANIO	MES	DIA_NUM_SEM	DIA_NOM_SEM	WEEKEND	ULT_VIE_MES	PUENTES_FESTIVOS	VACACIONES	TEMPORADA
01/01/2023	2023	1	1	DOM	0.5	0	1.25	1	2.75
02/01/2023	2023	1	2	LUN	0	0	0	1	1
03/01/2023	2023	1	3	MAR	0	0	0	1	1
04/01/2023	2023	1	4	MIE	0	0	0	1	1
05/01/2023	2023	1	5	JUE	0	0	0	1	1
06/01/2023	2023	1	6	VIE	0.5	0	0	1	1.5
07/01/2023	2023	1	7	SAB	0.5	0	0	1	1.5
08/01/2023	2023	1	1	DOM	0.5	0	0	1	1.5
09/01/2023	2023	1	2	LUN	0	0	0	0	0
10/01/2023	2023	1	3	MAR	0	0	0	0	0
11/01/2023	2023	1	4	MIE	0	0	0	0	0
12/01/2023	2023	1	5	JUE	0	0	0	0	0
13/01/2023	2023	1	6	VIE	0.5	0	0	0	0.5
14/01/2023	2023	1	7	SAB	0.5	0	0	0	0.5
15/01/2023	2023	1	1	DOM	0.5	0	0	0	0.5
16/01/2023	2023	1	2	LUN	0	0	0	0	0
17/01/2023	2023	1	3	MAR	0	0	0	0	0
18/01/2023	2023	1	4	MIE	0	0	0	0	0
19/01/2023	2023	1	5	JUE	0	0	0	0	0
20/01/2023	2023	1	6	VIE	0.5	0	0	0	0.5
21/01/2023	2023	1	7	SAB	0.5	0	0	0	0.5
22/01/2023	2023	1	1	DOM	0.5	0	0	0	0.5
23/01/2023	2023	1	2	LUN	0	0	0	0	0
24/01/2023	2023	1	3	MAR	0	0	0	0	0
25/01/2023	2023	1	4	MIE	0	0	0	0	0
26/01/2023	2023	1	5	JUE	0	0	0	0	0
27/01/2023	2023	1	6	VIE	0.5	0.25	0	0	0.75
28/01/2023	2023	1	7	SAB	0.5	0	0	0	0.5
29/01/2023	2023	1	1	DOM	0.5	0	0	0	0.5
30/01/2023	2023	1	2	LUN	0	0	0	0	0
31/01/2023	2023	1	3	MAR	0	0	0	0	0
01/02/2023	2023	2	4	MIE	0	0	0	0	0
02/02/2023	2023	2	5	JUE	0	0	0	0	0
03/02/2023	2023	2	6	VIE	0.5	0	1.25	0	1.75
04/02/2023	2023	2	7	SAB	0.5	0	1.25	0	1.75
05/02/2023	2023	2	1	DOM	0.5	0	1.25	0	1.75
06/02/2023	2023	2	2	LUN	0	0	1.25	0	1.25
07/02/2023	2023	2	3	MAR	0	0	0	0	0
08/02/2023	2023	2	4	MIE	0	0	0	0	0
09/02/2023	2023	2	5	JUE	0	0	0	0	0
10/02/2023	2023	2	6	VIE	0.5	0	0	0	0.5
11/02/2023	2023	2	7	SAB	0.5	0	0	0	0.5
12/02/2023	2023	2	1	DOM	0.5	0	0	0	0.5
13/02/2023	2023	2	2	LUN	0	0	0	0	0
14/02/2023	2023	2	3	MAR	0	0	0	0	0
15/02/2023	2023	2	4	MIE	0	0	0	0	0
16/02/2023	2023	2	5	JUE	0	0	0	0	0
17/02/2023	2023	2	6	VIE	0.5	0	0	0	0.5
18/02/2023	2023	2	7	SAB	0.5	0	0	0	0.5
19/02/2023	2023	2	1	DOM	0.5	0	0	0	0.5
20/02/2023	2023	2	2	LUN	0	0	0	0	0
21/02/2023	2023	2	3	MAR	0	0	0	0	0
22/02/2023	2023	2	4	MIE	0	0	0	0	0
23/02/2023	2023	2	5	JUE	0	0	0	0	0
24/02/2023	2023	2	6	VIE	0.5	0.25	0	0	0.75
25/02/2023	2023	2	7	SAB	0.5	0	0	0	0.5
26/02/2023	2023	2	1	DOM	0.5	0	0	0	0.5
27/02/2023	2023	2	2	LUN	0	0	0	0	0
28/02/2023	2023	2	3	MAR	0	0	0	0	0
01/03/2023	2023	3	4	MIE	0	0	0	0	0
02/03/2023	2023	3	5	JUE	0	0	0	0	0
03/03/2023	2023	3	6	VIE	0.5	0	0	0	0.5
04/03/2023	2023	3	7	SAB	0.5	0	0	0	0.5
05/03/2023	2023	3	1	DOM	0.5	0	0	0	0.5
06/03/2023	2023	3	2	LUN	0	0	0	0	0
07/03/2023	2023	3	3	MAR	0	0	0	0	0
08/03/2023	2023	3	4	MIE	0	0	0	0	0
09/03/2023	2023	3	5	JUE	0	0	0	0	0
10/03/2023	2023	3	6	VIE	0.5	0	0	0	0.5
11/03/2023	2023	3	7	SAB	0.5	0	0	0	0.5
12/03/2023	2023	3	1	DOM	0.5	0	0	0	0.5
13/03/2023	2023	3	2	LUN	0	0	0	0	0
14/03/2023	2023	3	3	MAR	0	0	0	0	0
15/03/2023	2023	3	4	MIE	0	0	0	0	0
16/03/2023	2023	3	5	JUE	0	0	0	0	0
17/03/2023	2023	3	6	VIE	0.5	0	1.25	0	1.75
18/03/2023	2023	3	7	SAB	0.5	0	1.25	0	1.75
19/03/2023	2023	3	1	DOM	0.5	0	1.25	0	1.75
20/03/2023	2023	3	2	LUN	0	0	1.25	0	1.25
21/03/2023	2023	3	3	MAR	0	0	0	0	0
22/03/2023	2023	3	4	MIE	0	0	0	0	0
23/03/2023	2023	3	5	JUE	0	0	0	0	0
24/03/2023	2023	3	6	VIE	0.5	0	0	0	0.5
25/03/2023	2023	3	7	SAB	0.5	0	0	0	0.5
26/03/2023	2023	3	1	DOM	0.5	0	0	0	0.5
27/03/2023	2023	3	2	LUN	0	0	0	0	0
28/03/2023	2023	3	3	MAR	0	0	0	0	0
29/03/2023	2023	3	4	MIE	0	0	0	0	0
30/03/2023	2023	3	5	JUE	0	0	0	0	0
31/03/2023	2023	3	6	VIE	0.5	0.25	0	1	1.75
01/04/2023	2023	4	7	SAB	0.5	0	0	1	1.5
02/04/2023	2023	4	1	DOM	0.5	0	0	1	1.5
03/04/2023	2023	4	2	LUN	0	0	0	1	1
04/04/2023	2023	4	3	MAR	0	0	0	1	1
05/04/2023	2023	4	4	MIE	0	0	0	1	1
06/04/2023	2023	4	5	JUE	0	0	0	1	1
07/04/2023	2023	4	6	VIE	0.5	0	0	1	1.5
08/04/2023	2023	4	7	SAB	0.5	0	0	1	1.5
09/04/2023	2023	4	1	DOM	0.5	0	0	1	1.5
10/04/2023	2023	4	2	LUN	0	0	0	1	1
11/04/2023	2023	4	3	MAR	0	0	0	1	1
12/04/2023	2023	4	4	MIE	0	0	0	1	1
13/04/2023	2023	4	5	JUE	0	0	0	1	1
14/04/2023	2023	4	6	VIE	0.5	0	0	1	1.5
15/04/2023	2023	4	7	SAB	0.5	0	0	1	1.5
16/04/2023	2023	4	1	DOM	0.5	0	0	1	1.5
17/04/2023	2023	4	2	LUN	0	0	0	0	0
18/04/2023	2023	4	3	MAR	0	0	0	0	0
19/04/2023	2023	4	4	MIE	0	0	0	0	0
20/04/2023	2023	4	5	JUE	0	0	0	0	0
21/04/2023	2023	4	6	VIE	0.5	0	0	0	0.5
22/04/2023	2023	4	7	SAB	0.5	0	0	0	0.5
23/04/2023	2023	4	1	DOM	0.5	0	0	0	0.5
24/04/2023	2023	4	2	LUN	0	0	0	0	0
25/04/2023	2023	4	3	MAR	0	0	0	0	0
26/04/2023	2023	4	4	MIE	0	0	0	0	0
27/04/2023	2023	4	5	JUE	0	0	0	0	0
28/04/2023	2023	4	6	VIE	0.5	0.25	1.25	0	2
29/04/2023	2023	4	7	SAB	0.5	0	1.25	0	1.75
30/04/2023	2023	4	1	DOM	0.5	0	1.25	0	1.75
01/05/2023	2023	5	2	LUN	0	0	1.25	0	1.25
02/05/2023	2023	5	3	MAR	0	0	0	0	0
03/05/2023	2023	5	4	MIE	0	0	0	0	0
04/05/2023	2023	5	5	JUE	0	0	0	0	0
05/05/2023	2023	5	6	VIE	0.5	0	1.25	0	1.75
06/05/2023	2023	5	7	SAB	0.5	0	0	0	0.5
07/05/2023	2023	5	1	DOM	0.5	0	0	0	0.5
08/05/2023	2023	5	2	LUN	0	0	0	0	0
09/05/2023	2023	5	3	MAR	0	0	0	0	0
10/05/2023	2023	5	4	MIE	0	0	0	0	0
11/05/2023	2023	5	5	JUE	0	0	0	0	0
12/05/2023	2023	5	6	VIE	0.5	0	1.25	0	1.75
13/05/2023	2023	5	7	SAB	0.5	0	1.25	0	1.75
14/05/2023	2023	5	1	DOM	0.5	0	1.25	0	1.75
15/05/2023	2023	5	2	LUN	0	0	1.25	0	1.25
16/05/2023	2023	5	3	MAR	0	0	0	0	0
17/05/2023	2023	5	4	MIE	0	0	0	0	0
18/05/2023	2023	5	5	JUE	0	0	0	0	0
19/05/2023	2023	5	6	VIE	0.5	0	0	0	0.5
20/05/2023	2023	5	7	SAB	0.5	0	0	0	0.5
21/05/2023	2023	5	1	DOM	0.5	0	0	0	0.5
22/05/2023	2023	5	2	LUN	0	0	0	0	0
23/05/2023	2023	5	3	MAR	0	0	0	0	0
24/05/2023	2023	5	4	MIE	0	0	0	0	0
25/05/2023	2023	5	5	JUE	0	0	0	0	0
26/05/2023	2023	5	6	VIE	0.5	0.25	0	0	0.75
27/05/2023	2023	5	7	SAB	0.5	0	0	0	0.5
28/05/2023	2023	5	1	DOM	0.5	0	0	0	0.5
29/05/2023	2023	5	2	LUN	0	0	0	0	0
30/05/2023	2023	5	3	MAR	0	0	0	0	0
31/05/2023	2023	5	4	MIE	0	0	0	0	0
01/06/2023	2023	6	5	JUE	0	0	0	0	0
02/06/2023	2023	6	6	VIE	0.5	0	0	0	0.5
03/06/2023	2023	6	7	SAB	0.5	0	0	0	0.5
04/06/2023	2023	6	1	DOM	0.5	0	0	0	0.5
05/06/2023	2023	6	2	LUN	0	0	0	0	0
06/06/2023	2023	6	3	MAR	0	0	0	0	0
07/06/2023	2023	6	4	MIE	0	0	0	0	0
08/06/2023	2023	6	5	JUE	0	0	0	0	0
09/06/2023	2023	6	6	VIE	0.5	0	0	0	0.5
